"Chromosome","Position","snipdx.gene"
"chr1",120347136,NA
"chr1",145025796,NA
"chr1",145676266,NA
"chr1",146625193,NA
"chr1",146633739,NA
"chr1",146633750,NA
"chr1",147282446,NA
"chr1",147378664,NA
"chr1",150187336,NA
"chr1",150683251,NA
"chr1",151174772,NA
"chr1",151754112,NA
"chr1",152330945,NA
"chr1",152512705,NA
"chr1",152512762,NA
"chr1",153139236,NA
"chr1",153776666,NA
"chr1",154395125,NA
"chr1",155038756,NA
"chr1",155852122,NA
"chr1",155852123,NA
"chr1",156304782,NA
"chr1",156954384,NA
"chr1",157550066,NA
"chr1",157599916,NA
"chr1",157599917,NA
"chr1",158395860,NA
"chr1",158395865,NA
"chr1",158395866,NA
"chr1",158395867,NA
"chr1",158395892,NA
"chr1",158395908,NA
"chr1",158520413,NA
"chr1",158520414,NA
"chr1",158520440,NA
"chr1",158520446,NA
"chr1",158520460,NA
"chr1",158520461,NA
"chr1",158520466,NA
"chr1",159266838,NA
"chr1",159584265,NA
"chr1",159584272,NA
"chr1",159584282,NA
"chr1",159584300,NA
"chr1",159584337,NA
"chr1",160320356,NA
"chr1",160320359,NA
"chr1",160727088,NA
"chr1",161176137,NA
"chr1",161677350,NA
"chr1",162030901,NA
"chr1",162030926,NA
"chr1",162030967,NA
"chr1",162831317,NA
"chr1",163286214,NA
"chr1",163697946,NA
"chr1",163697947,NA
"chr1",163697992,NA
"chr1",163697998,NA
"chr1",163803096,NA
"chr1",163803101,NA
"chr1",163803103,NA
"chr1",163803116,NA
"chr1",163803119,NA
"chr1",163803124,NA
"chr1",163803125,NA
"chr1",163803130,NA
"chr1",163803153,NA
"chr1",164489175,NA
"chr1",165445515,NA
"chr1",165445530,NA
"chr1",165860813,NA
"chr1",165860818,NA
"chr1",165860819,NA
"chr1",165860843,NA
"chr1",165860846,NA
"chr1",165860855,NA
"chr1",165860861,NA
"chr1",165860864,NA
"chr1",165860867,NA
"chr1",166656697,NA
"chr1",167437047,NA
"chr1",168230181,NA
"chr1",169022903,NA
"chr1",169431363,NA
"chr1",169526367,NA
"chr1",169526374,NA
"chr1",169526384,NA
"chr1",169526421,NA
"chr1",169526425,NA
"chr1",170171083,NA
"chr1",170835762,NA
"chr1",171393787,NA
"chr1",171814964,NA
"chr1",171814965,NA
"chr1",171814985,NA
"chr1",171814993,NA
"chr1",171815022,NA
"chr1",172415451,NA
"chr1",172828480,NA
"chr1",173268821,NA
"chr1",173686353,NA
"chr1",174104743,NA
"chr1",174550684,NA
"chr1",174550685,NA
"chr1",175010010,NA
"chr1",175428956,NA
"chr1",175428957,NA
"chr1",175869554,NA
"chr1",176403244,NA
"chr1",176892386,NA
"chr1",177428606,NA
"chr1",177971864,NA
"chr1",178515135,NA
"chr1",179060116,NA
"chr1",179577987,NA
"chr1",180113970,NA
"chr1",180113995,NA
"chr1",180113999,NA
"chr1",180114001,NA
"chr1",180114023,NA
"chr1",180810233,NA
"chr1",181275760,NA
"chr1",181741698,NA
"chr1",182223755,NA
"chr1",182696117,NA
"chr1",183075415,NA
"chr1",183075424,NA
"chr1",183075425,NA
"chr1",183075440,NA
"chr1",183075453,NA
"chr1",183075455,NA
"chr1",183075456,NA
"chr1",183113862,NA
"chr1",183113863,NA
"chr1",183113868,NA
"chr1",183113871,NA
"chr1",183113889,NA
"chr1",183113900,NA
"chr1",183113925,NA
"chr1",183113940,NA
"chr1",183113950,NA
"chr1",183113952,NA
"chr1",183562782,NA
"chr1",183562796,NA
"chr1",183562798,NA
"chr1",183562820,NA
"chr1",183562832,NA
"chr1",183562833,NA
"chr1",183667957,NA
"chr1",183667958,NA
"chr1",183667971,NA
"chr1",183667985,NA
"chr1",183667992,NA
"chr1",183667999,NA
"chr1",183668000,NA
"chr1",183668004,NA
"chr1",183668012,NA
"chr1",183668030,NA
"chr1",183843044,NA
"chr1",183843045,NA
"chr1",183843048,NA
"chr1",183843065,NA
"chr1",183843066,NA
"chr1",183843075,NA
"chr1",183843081,NA
"chr1",183843084,NA
"chr1",183843091,NA
"chr1",183843104,NA
"chr1",184327255,NA
"chr1",184327256,NA
"chr1",184905261,NA
"chr1",184905266,NA
"chr1",184905289,NA
"chr1",184905306,NA
"chr1",184905307,NA
"chr1",184905332,NA
"chr1",184905333,NA
"chr1",184905334,NA
"chr1",184905344,NA
"chr1",184905358,NA
"chr1",185520600,NA
"chr1",186222030,NA
"chr1",186951429,NA
"chr1",187625959,NA
"chr1",188319207,NA
"chr1",188319213,NA
"chr1",188319214,NA
"chr1",188319227,NA
"chr1",188319244,NA
"chr1",188319247,NA
"chr1",188319276,NA
"chr1",188319283,NA
"chr1",188746974,NA
"chr1",189243491,NA
"chr1",189618415,NA
"chr1",189618423,NA
"chr1",189618424,NA
"chr1",189618425,NA
"chr1",189618428,NA
"chr1",189618433,NA
"chr1",189618442,NA
"chr1",189618447,NA
"chr1",189618448,NA
"chr1",189618455,NA
"chr1",189618463,NA
"chr1",189618475,NA
"chr1",189646815,NA
"chr1",189646819,NA
"chr1",189646857,NA
"chr1",189646874,NA
"chr1",189646883,NA
"chr1",189646896,NA
"chr1",189646898,NA
"chr1",190182496,NA
"chr1",190734051,NA
"chr1",191377664,NA
"chr1",192016835,NA
"chr1",192016839,NA
"chr1",192016840,NA
"chr1",192016850,NA
"chr1",192016858,NA
"chr1",192016882,NA
"chr1",192016893,NA
"chr1",192569851,NA
"chr1",193115275,NA
"chr1",193748305,NA
"chr1",194388006,NA
"chr1",194388021,NA
"chr1",194388022,NA
"chr1",194388028,NA
"chr1",194388033,NA
"chr1",194388045,NA
"chr1",194388052,NA
"chr1",194388074,NA
"chr1",194388076,NA
"chr1",194388084,NA
"chr1",194388088,NA
"chr1",195046829,NA
"chr1",195046841,NA
"chr1",195052569,NA
"chr1",195052582,NA
"chr1",195052605,NA
"chr1",195052643,NA
"chr1",195052656,NA
"chr1",195052666,NA
"chr1",195089819,NA
"chr1",195089825,NA
"chr1",195089853,NA
"chr1",195089855,NA
"chr1",195089878,NA
"chr1",195089881,NA
"chr1",195089900,NA
"chr1",195094551,NA
"chr1",195094565,NA
"chr1",195094576,NA
"chr1",195094589,NA
"chr1",195094604,NA
"chr1",195094607,NA
"chr1",195802609,NA
"chr1",195802610,NA
"chr1",195802617,NA
"chr1",195802642,NA
"chr1",195802644,NA
"chr1",195802646,NA
"chr1",195802685,NA
"chr1",195802689,NA
"chr1",195802704,NA
"chr1",195802707,NA
"chr1",196397775,NA
"chr1",197008597,NA
"chr1",197563333,NA
"chr1",198190314,NA
"chr1",198190322,NA
"chr1",198190342,NA
"chr1",198190356,NA
"chr1",198190364,NA
"chr1",198190373,NA
"chr1",198190386,NA
"chr1",198212636,NA
"chr1",198212654,NA
"chr1",198212671,NA
"chr1",198212689,NA
"chr1",198212717,NA
"chr1",198212728,NA
"chr1",198627652,NA
"chr1",199050934,NA
"chr1",199050935,NA
"chr1",199708709,NA
"chr1",199708718,NA
"chr1",199708725,NA
"chr1",199708750,NA
"chr1",199708763,NA
"chr1",199708790,NA
"chr1",200600820,NA
"chr1",201117858,NA
"chr1",201654842,NA
"chr1",202734579,NA
"chr1",203179284,NA
"chr1",203658852,NA
"chr1",204062186,NA
"chr1",204530924,NA
"chr1",204997096,NA
"chr1",205465177,NA
"chr1",205918020,NA
"chr1",206675602,NA
"chr1",206847375,NA
"chr1",207300258,NA
"chr1",207803021,NA
"chr1",208253883,NA
"chr1",208715698,NA
"chr1",209201633,NA
"chr1",210110537,NA
"chr1",211182340,NA
"chr1",211687050,NA
"chr1",211687051,NA
"chr1",212165635,NA
"chr1",212770394,NA
"chr1",213340377,NA
"chr1",213863786,NA
"chr1",214415979,NA
"chr1",214415980,NA
"chr1",214960197,NA
"chr1",214960250,NA
"chr1",214977365,NA
"chr1",215592251,NA
"chr1",216264294,NA
"chr1",216264347,NA
"chr1",216264355,NA
"chr1",216264364,NA
"chr1",216264368,NA
"chr1",216264371,NA
"chr1",216264388,NA
"chr1",216689141,NA
"chr1",216689158,NA
"chr1",216689170,NA
"chr1",216689214,NA
"chr1",217133670,NA
"chr1",217133688,NA
"chr1",217133689,NA
"chr1",217133703,NA
"chr1",217133712,NA
"chr1",217133721,NA
"chr1",217133730,NA
"chr1",217133740,NA
"chr1",217561468,NA
"chr1",217561489,NA
"chr1",217561510,NA
"chr1",218284056,NA
"chr1",218284063,NA
"chr1",218284088,NA
"chr1",218284089,NA
"chr1",218284092,NA
"chr1",218284107,NA
"chr1",218284122,NA
"chr1",218944432,NA
"chr1",218944433,NA
"chr1",218944469,NA
"chr1",218944488,NA
"chr1",218944491,NA
"chr1",219421928,NA
"chr1",219633582,NA
"chr1",219633593,NA
"chr1",219633604,NA
"chr1",219633609,NA
"chr1",219633640,NA
"chr1",219633647,NA
"chr1",219633657,NA
"chr1",220687725,NA
"chr1",221345742,NA
"chr1",221820936,NA
"chr1",222289548,NA
"chr1",222786032,NA
"chr1",223250213,NA
"chr1",223250237,NA
"chr1",223250247,NA
"chr1",223250252,NA
"chr1",223250306,NA
"chr1",224062305,NA
"chr1",224062306,NA
"chr1",224820448,NA
"chr1",225463033,NA
"chr1",226064745,NA
"chr1",226797334,NA
"chr1",226797335,NA
"chr1",226797349,NA
"chr1",226797371,NA
"chr1",226797381,NA
"chr1",226797399,NA
"chr1",226797401,NA
"chr1",226797420,NA
"chr1",226797426,NA
"chr1",227596280,NA
"chr1",227798321,NA
"chr1",227798322,NA
"chr1",228434745,NA
"chr1",229732291,NA
"chr1",230355438,NA
"chr1",230881658,NA
"chr1",231402948,NA
"chr1",231402956,NA
"chr1",231402990,NA
"chr1",231402994,NA
"chr1",231403009,NA
"chr1",231403046,NA
"chr1",231963601,NA
"chr1",232455403,NA
"chr1",232768148,NA
"chr1",232768206,NA
"chr1",233520199,NA
"chr1",234272887,NA
"chr1",234802267,NA
"chr1",235328341,NA
"chr1",235746426,NA
"chr1",236238542,NA
"chr1",237321914,NA
"chr1",237321916,NA
"chr1",237321936,NA
"chr1",237321954,NA
"chr1",237321969,NA
"chr1",237875887,NA
"chr1",238432884,NA
"chr1",238432940,NA
"chr1",238983397,NA
"chr1",239565584,NA
"chr1",240125581,NA
"chr1",240683489,NA
"chr1",241125820,NA
"chr1",241125821,NA
"chr1",241125831,NA
"chr1",241125839,NA
"chr1",241125841,NA
"chr1",241125842,NA
"chr1",241125851,NA
"chr1",241830086,NA
"chr1",242545879,NA
"chr1",242545880,NA
"chr1",242545891,NA
"chr1",242545899,NA
"chr1",242545921,NA
"chr1",242545934,NA
"chr1",242545942,NA
"chr1",242545943,NA
"chr1",243027814,NA
"chr1",243505840,NA
"chr1",243505841,NA
"chr1",244024268,NA
"chr1",244486034,NA
"chr1",244486066,NA
"chr1",244486074,NA
"chr1",244486093,NA
"chr1",244781732,NA
"chr1",244781766,NA
"chr1",244781787,NA
"chr1",245575817,NA
"chr1",245575818,NA
"chr1",245575826,NA
"chr1",245575837,NA
"chr1",245575862,NA
"chr1",245575879,NA
"chr1",245977995,NA
"chr1",245977996,NA
"chr1",246664552,NA
"chr1",246664565,NA
"chr1",246664610,NA
"chr1",246664623,NA
"chr1",246664632,NA
"chr1",246664634,NA
"chr1",247341458,NA
"chr1",247341459,NA
"chr1",248026026,NA
"chr2",613782,NA
"chr2",613785,NA
"chr2",613787,NA
"chr2",613791,NA
"chr2",613792,NA
"chr2",613794,NA
"chr2",613812,NA
"chr2",613838,NA
"chr2",1376021,NA
"chr2",1863005,NA
"chr2",2365772,NA
"chr2",2864268,NA
"chr2",2864269,NA
"chr2",2864275,NA
"chr2",2864276,NA
"chr2",2864302,NA
"chr2",2864317,NA
"chr2",2864328,NA
"chr2",3322905,NA
"chr2",3793243,NA
"chr2",4278838,NA
"chr2",4717089,NA
"chr2",4901103,NA
"chr2",5429260,NA
"chr2",5891585,NA
"chr2",6347638,NA
"chr2",6347639,NA
"chr2",6347657,NA
"chr2",6347659,NA
"chr2",6347663,NA
"chr2",6347675,NA
"chr2",6347679,NA
"chr2",6347684,NA
"chr2",6347688,NA
"chr2",6347694,NA
"chr2",6795606,NA
"chr2",6795607,NA
"chr2",6795619,NA
"chr2",6799048,NA
"chr2",6799070,NA
"chr2",6799076,NA
"chr2",6799080,NA
"chr2",6799096,NA
"chr2",6799101,NA
"chr2",6799120,NA
"chr2",6851269,NA
"chr2",7479337,NA
"chr2",7479338,NA
"chr2",7479351,NA
"chr2",7479364,NA
"chr2",7479369,NA
"chr2",7479379,NA
"chr2",7479380,NA
"chr2",7479384,NA
"chr2",7479403,NA
"chr2",7541769,NA
"chr2",8666987,NA
"chr2",9228515,NA
"chr2",9739555,NA
"chr2",10209917,NA
"chr2",10209918,NA
"chr2",10209933,NA
"chr2",10209943,NA
"chr2",10209948,NA
"chr2",10209949,NA
"chr2",10209989,NA
"chr2",10209993,NA
"chr2",10936979,NA
"chr2",10936980,NA
"chr2",10936989,NA
"chr2",10936998,NA
"chr2",10937006,NA
"chr2",10937034,NA
"chr2",10937037,NA
"chr2",11461758,NA
"chr2",12640740,NA
"chr2",12640741,NA
"chr2",12640766,NA
"chr2",12640769,NA
"chr2",12640785,NA
"chr2",12640788,NA
"chr2",12640838,NA
"chr2",12640842,NA
"chr2",12640847,NA
"chr2",12640884,NA
"chr2",12640886,NA
"chr2",12640897,NA
"chr2",13261503,NA
"chr2",13842576,NA
"chr2",13842580,NA
"chr2",13842599,NA
"chr2",13842606,NA
"chr2",13842650,NA
"chr2",13842654,NA
"chr2",14528016,NA
"chr2",15113374,NA
"chr2",16364583,NA
"chr2",17271585,NA
"chr2",17271590,NA
"chr2",17271601,NA
"chr2",17271610,NA
"chr2",17271619,NA
"chr2",17271624,NA
"chr2",17271643,NA
"chr2",17675735,NA
"chr2",17986683,NA
"chr2",18263542,NA
"chr2",18263543,NA
"chr2",18263552,NA
"chr2",18263569,NA
"chr2",18263574,NA
"chr2",18263578,NA
"chr2",18263612,NA
"chr2",18263629,NA
"chr2",19310918,NA
"chr2",19749554,NA
"chr2",20177815,NA
"chr2",20616425,NA
"chr2",21459363,NA
"chr2",21889579,NA
"chr2",22450249,NA
"chr2",23015895,NA
"chr2",23582272,NA
"chr2",23582278,NA
"chr2",23582300,NA
"chr2",23582309,NA
"chr2",23582313,NA
"chr2",23582314,NA
"chr2",24325804,NA
"chr2",24325805,NA
"chr2",25100738,NA
"chr2",25176200,NA
"chr2",25176210,NA
"chr2",25176211,NA
"chr2",25176224,NA
"chr2",25176239,NA
"chr2",25176277,NA
"chr2",25604837,NA
"chr2",26080394,NA
"chr2",26855221,NA
"chr2",27280092,NA
"chr2",27714511,NA
"chr2",28078994,NA
"chr2",28539877,NA
"chr2",29249415,NA
"chr2",30092383,NA
"chr2",31399988,NA
"chr2",31399989,NA
"chr2",31399995,NA
"chr2",31400008,NA
"chr2",31400012,NA
"chr2",31400013,NA
"chr2",31400014,NA
"chr2",31400019,NA
"chr2",31400028,NA
"chr2",31400031,NA
"chr2",31400037,NA
"chr2",31400039,NA
"chr2",31455148,NA
"chr2",31455153,NA
"chr2",31455154,NA
"chr2",31455168,NA
"chr2",31455173,NA
"chr2",31455174,NA
"chr2",31455184,NA
"chr2",31455216,NA
"chr2",31455227,NA
"chr2",31786793,NA
"chr2",32294486,NA
"chr2",33061075,NA
"chr2",33858141,NA
"chr2",34691069,NA
"chr2",34691083,NA
"chr2",35434379,NA
"chr2",35434380,NA
"chr2",35434382,NA
"chr2",35434390,NA
"chr2",35434395,NA
"chr2",35434397,NA
"chr2",35434401,NA
"chr2",35434405,NA
"chr2",35434406,NA
"chr2",35434417,NA
"chr2",35888981,NA
"chr2",36353114,NA
"chr2",36880798,NA
"chr2",37387587,NA
"chr2",37949160,NA
"chr2",38467258,NA
"chr2",39212637,NA
"chr2",39842139,NA
"chr2",39842140,NA
"chr2",40472563,NA
"chr2",41130031,NA
"chr2",41130045,NA
"chr2",41130046,NA
"chr2",41130073,NA
"chr2",41130093,NA
"chr2",41130105,NA
"chr2",41130113,NA
"chr2",41351970,NA
"chr2",41351979,NA
"chr2",41351985,NA
"chr2",41351998,NA
"chr2",41351999,NA
"chr2",41352006,NA
"chr2",41352035,NA
"chr2",41764905,NA
"chr2",41934802,NA
"chr2",41934804,NA
"chr2",41934807,NA
"chr2",41934816,NA
"chr2",41934824,NA
"chr2",41968298,NA
"chr2",41968309,NA
"chr2",41968321,NA
"chr2",41968326,NA
"chr2",41968328,NA
"chr2",41968342,NA
"chr2",41968353,NA
"chr2",41968376,NA
"chr2",42456209,NA
"chr2",42997949,NA
"chr2",42997950,NA
"chr2",42997971,NA
"chr2",42997983,NA
"chr2",42998012,NA
"chr2",42998018,NA
"chr2",42998019,NA
"chr2",42998021,NA
"chr2",42998023,NA
"chr2",42998032,NA
"chr2",43587504,NA
"chr2",43951922,NA
"chr2",44354431,NA
"chr2",44354437,NA
"chr2",44354459,NA
"chr2",44354466,NA
"chr2",44354467,NA
"chr2",44354468,NA
"chr2",44354483,NA
"chr2",44354495,NA
"chr2",44561532,NA
"chr2",45043941,NA
"chr2",45043943,NA
"chr2",45043970,NA
"chr2",45043973,NA
"chr2",45043990,NA
"chr2",45043992,NA
"chr2",45043995,NA
"chr2",45043996,NA
"chr2",45685746,NA
"chr2",46128458,NA
"chr2",46408340,NA
"chr2",46408341,NA
"chr2",46408352,NA
"chr2",46408363,NA
"chr2",46408383,NA
"chr2",46408389,NA
"chr2",46408397,NA
"chr2",46408421,NA
"chr2",46882669,NA
"chr2",47257865,NA
"chr2",47698384,NA
